"c","zc","fc1","fc2","fc3","fc4","fc5","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
0,0,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,1,1,0,0,0
-545.00614902438394,0.0087502451778046567,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,2,2,0.05000000074505806,0,0
0.57299210294291669,0.016667133672008873,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,3,3,0.10000000149011612,0,0
575.14139620728292,-0.0034553054495671765,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,4,4,0.15000000596046448,0,0
-0.48155773555923959,-0.021661321797659797,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,5,5,0.20000000298023224,0,0
-2817.9923392595329,-0.015202111085979412,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,6,6,0.25,0,0
-8645.7496887051675,-0.0093580632992209672,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,7,7,0.30000001192092896,0,0
-17731.360713004593,-0.0040705914921538066,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,8,8,0.34999999403953552,0,0
-29705.245460409038,0.00071331157138315368,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,9,9,0.40000000596046448,0,0
-43618.370143450884,0.005041604819345161,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,10,10,0.44999998807907104,0,0
-58105.631450044973,0.0089576796627393578,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,11,11,0.5,0,0
-71627.300602009956,0.012500794997238874,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,12,12,0.55000001192092896,0,0
-82718.543164446863,0.015706470776071763,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,13,13,0.60000002384185791,0,0
-90179.140713299086,0.018606844099777718,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,14,14,0.64999997615814209,0,0
-93160.8333917157,0.021230991392654528,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,15,15,0.69999998807907104,0,0
-91148.27103988154,0.022414743705257357,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,16,16,0.75,0,0
-83866.718926711445,0.021104805321421817,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,17,17,0.80000001192092896,0,0
-71171.552163101936,0.01753867059318967,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,18,18,0.85000002384185791,0,0
-52973.418060287484,0.011931215362884382,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,19,19,0.89999997615814209,0,0
-29229.974073914116,0.0056673272973700884,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,20,20,0.94999998807907104,0,0
0,0,-665422.22662282025,1488646.8204430514,61333.57122835375,-187755.90943858211,-227525.18789193474,21,21,1,0,0
