"c","zc","fc","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
-0.81643,-0.065554,1.6354,1,1,0.20008,-0.20011,0
-1.0096,-0.056954,1.3736,2,2,0.20007,-0.17509,0
-0.91849,-0.050645,1.2113,3,3,0.17506,-0.17508,0
-0.74167,-0.058114,1.4477,4,4,0.17507,-0.20009,0
-0.91299,-0.061254,1.5045,5,5,0.20007,-0.1876,0
-0.96402,-0.0538,1.2925,6,6,0.18757,-0.17509,0
-0.83008,-0.05438,1.3295,7,7,0.17507,-0.18759,0
-0.77905,-0.061834,1.5415,8,8,0.18757,-0.2001,0
-0.87153,-0.057817,1.417,9,9,0.18757,-0.18759,0
-1.2215,-0.049063,1.0853,10,10,0.20006,-0.15008,0
-1.1137,-0.043687,0.94994,11,11,0.17505,-0.15007,0
-1.1155,-0.053008,1.2294,12,12,0.20006,-0.16259,0
-1.1676,-0.046375,1.0176,13,13,0.18756,-0.15008,0
-1.0161,-0.047166,1.0806,14,14,0.17506,-0.16258,0
-1.0658,-0.050087,1.155,15,15,0.18756,-0.16258,0
-0.81663,-0.043829,1.0424,16,16,0.15005,-0.17507,0
-0.65827,-0.050076,1.2506,17,17,0.15006,-0.20008,0
-0.86756,-0.047237,1.1269,18,18,0.16256,-0.17508,0
-0.73745,-0.046953,1.1465,19,19,0.15006,-0.18758,0
-0.69997,-0.054095,1.3492,20,20,0.16256,-0.20009,0
-0.78377,-0.050666,1.238,21,21,0.16256,-0.18758,0
-0.99269,-0.037892,0.81081,22,22,0.15004,-0.15006,0
-1.0532,-0.040789,0.88038,23,23,0.16255,-0.15007,0
-0.90466,-0.040861,0.92662,24,24,0.15005,-0.16257,0
-0.96038,-0.044013,1.0036,25,25,0.16255,-0.16257,0
-1.4526,-0.04172,0.77251,26,26,0.20005,-0.12507,0
-1.3281,-0.037151,0.66495,27,27,0.17504,-0.12506,0
-1.3371,-0.045391,0.92891,28,28,0.20005,-0.13757,0
-1.3904,-0.039436,0.71873,29,29,0.18755,-0.12506,0
-1.2209,-0.040419,0.80745,30,30,0.17505,-0.13756,0
-1.279,-0.042905,0.86818,31,31,0.18755,-0.13757,0
-1.703,-0.034805,0.43674,32,32,0.20004,-0.10005,0
-1.5625,-0.030958,0.3574,33,33,0.17503,-0.10005,0
-1.5778,-0.038263,0.60462,34,34,0.20004,-0.11256,0
-1.6328,-0.032881,0.39707,35,35,0.18754,-0.10005,0
-1.4453,-0.034054,0.51118,36,36,0.17504,-0.11255,0
-1.5116,-0.036159,0.5579,37,37,0.18754,-0.11256,0
-1.1878,-0.032244,0.55674,38,38,0.15004,-0.12505,0
-1.258,-0.034698,0.61085,39,39,0.16254,-0.12505,0
-1.0902,-0.035068,0.68378,40,40,0.15004,-0.13756,0
-1.1556,-0.037744,0.74561,41,41,0.16254,-0.13756,0
-1.4035,-0.026844,0.28055,42,42,0.15003,-0.10004,0
-1.483,-0.028901,0.31898,43,43,0.16253,-0.10004,0
-1.2956,-0.029544,0.41864,44,44,0.15003,-0.11255,0
-1.3705,-0.031799,0.46491,45,45,0.16254,-0.11255,0
-0.70368,-0.036691,0.86936,46,46,0.12504,-0.17506,0
-0.56614,-0.041727,1.0471,47,47,0.12505,-0.20007,0
-0.76015,-0.04026,0.95589,48,48,0.13755,-0.17506,0
-0.63491,-0.039209,0.95823,49,49,0.12505,-0.18756,0
-0.6122,-0.045901,1.1489,50,50,0.13755,-0.20007,0
-0.68618,-0.043081,1.0524,51,51,0.13755,-0.18757,0
-0.85779,-0.031805,0.67037,52,52,0.12504,-0.15005,0
-0.92524,-0.034849,0.74059,53,53,0.13754,-0.15006,0
-0.78073,-0.034248,0.76986,54,54,0.12504,-0.16255,0
-0.8427,-0.037554,0.84824,55,55,0.13754,-0.16256,0
-0.57974,-0.029386,0.69444,56,56,0.10003,-0.17505,0
-0.4655,-0.033277,0.83963,57,57,0.10004,-0.20005,0
-0.64171,-0.033039,0.7819,58,58,0.11254,-0.17505,0
-0.52262,-0.031332,0.76703,59,59,0.10004,-0.18755,0
-0.51582,-0.037502,0.94337,60,60,0.11254,-0.20006,0
-0.57876,-0.03527,0.86263,61,61,0.11254,-0.18756,0
-0.7088,-0.025539,0.53079,62,62,0.10003,-0.15004,0
-0.7833,-0.028672,0.60058,63,63,0.11253,-0.15005,0
-0.64427,-0.027463,0.61261,64,64,0.10003,-0.16254,0
-0.7125,-0.030855,0.69124,65,65,0.11254,-0.16255,0
-1.0304,-0.02709,0.45043,66,66,0.12503,-0.12504,0
-1.1091,-0.029667,0.50358,67,67,0.13753,-0.12505,0
-0.94409,-0.029447,0.5604,68,68,0.12503,-0.13755,0
-1.0172,-0.032258,0.62209,69,69,0.13754,-0.13755,0
-1.2239,-0.022532,0.20909,70,70,0.12502,-0.10003,0
-1.3137,-0.024688,0.24482,71,71,0.13753,-0.10004,0
-1.1271,-0.024811,0.32976,72,72,0.12503,-0.11254,0
-1.2114,-0.027178,0.3742,73,73,0.13753,-0.11254,0
-0.85505,-0.021773,0.3484,74,74,0.10002,-0.12503,0
-0.94272,-0.024431,0.39941,75,75,0.11253,-0.12504,0
-0.78193,-0.023656,0.43959,76,76,0.10003,-0.13754,0
