run           HF QoI                    LF QoI                    absolute diff       relative diff (vs HF)     relative diff (vs LF)
all3_bigger3  0.0019518335001123405     0.0030431819739732617     0.0010913485	      0.5591401489	            0.3586208394
all3_big3     0.0033560212061738382     0.0048949942038858298     0.001538973	        0.4585707012	            0.3143973075
all3          0.0033906303625829        0.00508017850625562       0.0016895481	      0.4982991252	            0.3325765308
just23        6.5714104852070644e-05    5.9460322121569927e-05    6.2537827305e-06    0.0951665209	            0.1051757291
just12        0.0033973146648952571     0.0051050648817948388     0.0017077502	      0.5026764917	            0.3345207664
just13        0.0034833253984684208     0.0057443163825515496     0.002260991	        0.6490897994	            0.3936048841
just1         0.0034809580393643175     0.0057251232385629779     0.0022441652	      0.6446975729	            0.3919854832
just2         9.1208555297983294e-05    9.2705640611751418e-05    1.4970853137e-06	  0.0164138694	            0.016148805
just3         2.86454674157861e-05      4.136727337809019e-05     1.2721805962e-05	  0.4441123539	            0.3075331034

sadj_aux_c from all3 (multiplies part of residual dealing with data)
1:  0.24748
2:  -0.48396
3:  0.029561
